title,date,season,document_type,abstract,mentioned_locations,keywords,disciplines,contributor,identifier,source,rights,fulltext_url,cover_image_url,update_reason,author1_fname,author1_mname,author1_lname,author1_suffix,author1_email,author1_institution,author1_is_corporate,author2_fname,author2_mname,author2_lname,author2_suffix,author2_email,author2_institution,author2_is_corporate,author3_fname,author3_mname,author3_lname,author3_suffix,author3_email,author3_institution,author3_is_corporate,author4_fname,author4_mname,author4_lname,author4_suffix,author4_email,author4_institution,author4_is_corporate,author5_fname,author5_mname,author5_lname,author5_suffix,author5_email,author5_institution,author5_is_corporate,calc_url,context_key,issue,ctmtime,format,thumb_url
"Letter from Theodore Bilbo to Sam H. Smith; December 11, 1929.",1929-12-11,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from Theodore Bilbo to Sam H. Smith; December 11, 1929.",,Church; Charities,,Derek Webb,mcj.c611.16.001,"Box c611, Folder 16",,,,,Theodore,,Bilbo,,,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. (electronic version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/6,21946231,smithpapers,1631660139,image,https://athenacommons.muw.edu/smithpapers/1005/thumbnail.jpg
"Letter from A.T. Patterson and Joe T. Patterson to Sam H. Smith; April 3, 1930.",1930-04-03,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from A.T. Patterson and Joe T. Patterson to Sam H. Smith; April 3, 1930.",Carroll County (Miss.); Grenada County (Miss.),Terms of court; State-local tax relations,,Rebecca Fuller,mcj.c611.16.002,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,A.,T.,Patterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/11,22014003,smithpapers,1631660793,image,https://athenacommons.muw.edu/smithpapers/1010/thumbnail.jpg
"Letter from Sam H. Smith; March 31, 1931.",1931-03-31,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from Sam H. Smith; March 31, 1931",Calhoun County (MIss.),Terms of court; State-local tax relations,,Rebecca Fuller,mcj.c611.17.001,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,"H,",Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/12,22014005,smithpapers,1631660793,image,https://github.com/SmithPapers/smithpapers.github.io/blob/main/assets/img/Letter%20from%20Sam%20H.%20Smith;%20March%2031%201931.png?raw=true
"Letter from J.R. Fewell to Sam H. Smith; April 25, 1931.",1931-04-25,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from J.R. Fewell to Sam H. Smith; April 25, 1931.",Calhoun County (MIss.),Report cards; Student records,,Elli Wilkinson,mcj.c611.17.002,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,J.,R.,Fewell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/13,22014007,smithpapers,1631660793,image,https://athenacommons.muw.edu/smithpapers/1012/thumbnail.jpg
"Letter from Thomas E. Pegram to Sam H. Smith; August 28th, 1931",1931-08-28,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from President of Bank of Ripley To Sam Smith; August 28, 1931",Calhoun County (MIss.),Correspondence; Civil service,,Rebecca Fuller,mcj.c611.17.003,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Thomas,E.,Pegram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/14,22014009,smithpapers,1631660793,image,https://athenacommons.muw.edu/smithpapers/1013/thumbnail.jpg
"Letter from Sam H. Smith to Bernice Smith; January 19, 1932",1932-01-19,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection. Letter from Sam H. Smith to Bernice Smith; January 19, 1932",Hinds County (MIss.),Inauguration; Social life and customs--20th century,,Rebecca Fuller,mcj.c611.17.004,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/15,22014337,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1014/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; January 21, 1932",1932-01-21,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection; Letter from Sam H. Smith to Pauline Smith; January 21, 1932",Hinds County (MIss.),Correspondence; Social life and customs--20th century,,Elli Wilkinson,mcj.c611.17.005,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/16,22014339,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1015/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; February 3, 1932",1932-02-03,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection; Letter from Sam H. Smith to Pauline Smith; February 3, 1932",Hinds County (MIss.),Correspondence; Mississippi--Politics and government,,Hillary A. H. Richardson,mcj.c611.18.001,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/17,22014340,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1016/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; February 20,1932",1932-02-20,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection; Letter from Sam H. Smith to Pauline Smith February 20, 1932",Hinds County (Miss.); Grenada County (Miss.),Correspondence; Mississippi--Politics and government,,Hillary A. H. Richardson,mcj.c611.18.002,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/18,22014342,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1017/thumbnail.jpg
"Letter from Sam H. Smith to Pauline Smith; February 29, 1932",1932-02-29,,letter,"From the Ellard-Murphree-Pilgreen-Smith Family Papers Collection; Letter from Sam H. Smith to Pauline Smith; February 29, 1932",Hinds County (Miss.),Correspondence; Mississippi--Politics and government,,Hillary A. H. Richardson,mcj.c611.18.003,"Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.",,,,Sam,H.,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://athenacommons.muw.edu/smithpapers/19,22014344,smithpapers,1631660796,image,https://athenacommons.muw.edu/smithpapers/1018/thumbnail.jpg
