title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,reference_url
"Letter from Theodore Bilbo to Sam H. Smith; December 11, 1929.","","1929-12-11","","","","","","Box c611, Folder 16","mcj.c611.16.001","","image","","","","http://localhost:4000/item.html?id="
"Letter from A.T. Patterson and Joe T. Patterson to Sam H. Smith; April 3, 1930.","","1930-04-03","","","","","","Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","mcj.c611.16.002","","image","","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.","","http://localhost:4000/item.html?id="
"Letter from Sam H. Smith; March 31, 1931.","","1931-03-31","","","","","","Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","mcj.c611.17.001","","image","","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.","","http://localhost:4000/item.html?id="
"Letter from J.R. Fewell to Sam H. Smith; April 25, 1931.","","1931-04-25","","","","","","Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","mcj.c611.17.002","","image","","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.","","http://localhost:4000/item.html?id="
"Letter from Thomas E. Pegram to Sam H. Smith; August 28th, 1931","","1931-08-28","","","","","","Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","mcj.c611.17.003","","image","","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.","","http://localhost:4000/item.html?id="
"Letter from Sam H. Smith to Bernice Smith; January 19, 1932","","1932-01-19","","","","","","Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","mcj.c611.17.004","","image","","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.","","http://localhost:4000/item.html?id="
"Letter from Sam H. Smith to Pauline Smith; January 21, 1932","","1932-01-21","","","","","","Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","mcj.c611.17.005","","image","","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.","","http://localhost:4000/item.html?id="
"Letter from Sam H. Smith to Pauline Smith; February 3, 1932","","1932-02-03","","","","","","Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","mcj.c611.18.001","","image","","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.","","http://localhost:4000/item.html?id="
"Letter from Sam H. Smith to Pauline Smith; February 20,1932","","1932-02-20","","","","","","Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","mcj.c611.18.002","","image","","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.","","http://localhost:4000/item.html?id="
"Letter from Sam H. Smith to Pauline Smith; February 29, 1932","","1932-02-29","","","","","","Beulah Culbertson Archives and Special Collections, Mississippi University for Women. Box c611, Folder 16.","mcj.c611.18.003","","image","","All unpublished materials are protected by copyright held by Mississippi University for Women. Permission to publish or reproduce must be requested in writing to the University Archivist. Published materials may also be protected by copyright, and the user must locate and request permission from copyright holder to publish or reproduce.","","http://localhost:4000/item.html?id="
